sample,FP1,FP2,T7,T8,P7,P8,O1,Oz,O2
54,69.88403,-74.94751,121.83496,-21.679688,75.37988,52.92041,-14.987511,-57.813477,-15.73877
55,84.69922,-60.70117,144.34863,3.180664,95.86511,68.947266,33.49262,-24.311737,20.919922
56,72.68408,-73.11377,148.38379,-2.3759766,95.26831,56.66162,28.88618,-32.00766,8.369141
57,75.001465,-81.38745,145.72461,-4.2714844,92.12891,63.094727,2.9025955,-39.562714,-5.717041
58,72.27002,-86.29028,144.56055,-22.90918,97.70044,62.925293,-9.785353,-43.332947,-12.843018
59,80.6958,-69.09863,153.82422,-13.990234,112.51636,65.12891,28.338135,-20.172302,12.448975
60,75.06079,-75.944824,148.68945,-11.192383,105.30676,54.32617,42.57571,-11.848755,25.609863
61,91.77295,-63.382812,146.06738,4.0351562,99.73926,65.367676,27.131474,-19.650818,15.482178
62,87.757324,-70.29419,141.56543,-13.8515625,87.863525,50.226562,-10.05154,-46.887238,-22.692139
63,85.65503,-66.81714,147.16602,-18.17871,100.368286,56.59668,-2.107872,-38.84024,-9.744629
64,92.621826,-54.804688,163.1582,-1.9052734,120.14905,61.57959,43.064304,-8.478516,20.757324
65,87.69556,-64.6543,161.25586,-6.2109375,110.391846,49.621582,41.994877,-17.234558,16.320312
66,89.66211,-63.331787,156.24707,-6.2246094,103.83154,55.575195,10.500343,-31.622162,-2.7231445
67,91.017334,-64.694824,144.32617,-13.720703,99.54785,61.18457,-8.232,-37.085358,-11.749512
68,92.07666,-61.12207,145.59375,-16.580078,98.19678,51.53662,3.9973755,-33.556793,-4.4311523
69,88.259766,-63.29297,158.25488,-5.3632812,114.14221,57.53662,43.614437,-10.170227,22.27246
70,84.187744,-72.13916,158.69434,-1.2324219,114.54028,56.43701,31.53696,-18.404755,8.101318
71,91.02026,-72.809814,152.99121,-8.0625,104.17993,60.118164,-0.72253036,-36.53476,-11.121582
72,85.42334,-75.07593,151.6416,-13.395508,106.24414,60.577637,-4.5414143,-36.087555,-11.239258
73,89.3208,-67.86035,155.52441,-8.426758,111.669556,58.14746,27.139168,-20.509216,12.476807
74,106.45264,-49.013428,156.85547,11.744141,107.69348,65.66992,36.61999,-12.360107,21.722412
75,92.40332,-70.504395,146.79004,-0.50878906,96.91113,55.871582,3.2632332,-39.397278,-9.314697
76,85.83984,-76.99902,144.84277,-11.90918,103.23779,57.838867,-14.992647,-47.17331,-21.372314
77,81.677246,-74.05786,151.33789,-13.90918,119.689575,64.930664,14.236687,-23.375305,9.476807
78,76.94702,-76.30347,148.08301,-12.043945,107.71155,44.573242,28.024624,-24.063477,11.88208
79,94.5603,-67.45679,157.84668,6.555664,113.90503,59.141113,30.770573,-18.637573,12.875244
80,90.22363,-71.36743,133.38672,-3.4609375,84.7345,50.730957,-21.05476,-55.74002,-23.77417
81,88.79126,-73.84863,131.51953,-13.674805,82.36792,44.80713,-38.013214,-67.16962,-32.340088
82,81.069824,-73.12109,140.69336,-14.2421875,103.63684,45.013184,10.178585,-33.42453,2.6096191
83,74.5625,-86.37573,146.40625,-7.9658203,108.44678,44.083008,32.192043,-20.068237,10.30542
84,83.951904,-80.86182,149.75977,1.1113281,102.987915,53.251465,8.613781,-33.370453,-7.1694336
85,85.26318,-80.302,146.91113,-6.1992188,98.24878,55.097168,-23.055458,-55.390625,-27.15918
86,78.07178,-81.54468,136.07617,-12.012695,93.81531,49.06836,-24.007133,-59.03479,-24.861084
87,77.180176,-74.23535,140.34375,-5.4179688,102.390625,47.929688,15.016193,-33.574432,5.4882812
88,77.214355,-81.340576,142.79688,4.0859375,106.04199,51.867676,23.582153,-31.682861,3.5456543
89,69.84424,-94.4104,133.4248,-2.0859375,90.70337,50.74951,-18.459488,-50.592804,-21.214111
90,74.83667,-85.59155,133.75,-5.8916016,97.92969,57.57422,-25.747288,-55.68518,-24.776367
91,72.8811,-81.35498,137.56055,-13.15332,100.92786,47.85205,-7.056959,-43.443726,-9.910645
92,82.417725,-78.522705,146.53809,0.13574219,105.51526,51.864746,26.253841,-23.004517,15.232422
93,87.16382,-79.52954,148.80566,6.745117,104.83972,59.38623,19.027332,-23.774536,9.516357
94,86.8728,-85.87012,143.89941,0.6796875,109.97095,64.48584,-6.3131294,-38.26413,-9.412598
95,74.57446,-86.30322,140.12598,-7.245117,107.46973,56.342285,-13.567455,-44.11075,-10.831299
96,75.47778,-82.00415,144.12207,-1.3945312,111.43176,53.40332,19.114159,-26.31128,7.6691895
97,70.625244,-86.25366,135.96191,3.0878906,98.36255,48.728027,18.074017,-34.165466,3.6906738
98,74.16943,-89.86597,135.0625,11.602539,100.56592,62.251953,-0.6691208,-40.620758,-7.169922
99,79.40796,-82.92139,140.99316,2.2890625,110.775024,60.745117,-12.700911,-41.871002,-13.53125
100,75.697266,-84.14404,142.88672,-8.170898,112.592285,53.30371,6.362129,-33.26709,-3.0158691
101,76.4751,-80.27637,147.87598,3.352539,115.74304,52.97461,32.638355,-16.687317,18.793701
102,72.14258,-90.82202,142.35449,4.682617,106.30249,57.129395,19.2589,-27.60025,8.861816
103,81.400635,-86.497314,129.86621,1.7363281,87.54443,55.197266,-29.063862,-63.47339,-27.560303
104,98.08887,-65.89404,149.0039,5.2626953,114.47925,64.86963,-7.661978,-42.00363,-9.440674
105,76.43042,-86.835205,145.83008,-6.3125,116.8584,45.734863,21.05994,-29.167236,4.5092773
106,78.13916,-82.38574,149.55957,10.796875,119.71924,54.90039,35.867,-17.340942,16.98291
107,77.39819,-86.113525,148.69434,11.869141,107.91431,56.4541,2.2440948,-34.736816,-4.779297
108,77.076416,-86.77881,136.17578,-3.665039,95.151245,47.166016,-35.39394,-62.26532,-36.321533
109,81.86279,-76.1311,132.84082,-5.057617,94.0072,42.589844,-24.804485,-61.0813,-29.03003
110,85.79443,-69.750244,145.84473,6.970703,112.179565,50.94629,21.254131,-26.88147,7.8342285
111,77.71582,-84.36743,146.49902,7.0791016,111.11755,48.65039,15.627289,-32.046204,-2.4882812
112,76.576416,-87.39429,140.03906,2.2763672,101.48279,48.46631,-19.513565,-51.7959,-27.885742
113,72.94336,-82.30664,137.46289,-3.2666016,101.854004,44.93164,-27.696905,-59.369232,-36.045166
114,73.9187,-75.21753,137.45312,1.6660156,109.73889,39.143555,1.7019958,-39.39209,-10.264893
115,83.71045,-69.354004,142.26953,12.504883,108.56702,42.19043,18.650887,-29.320312,0.84472656
116,81.27759,-80.21997,139.6709,11.749023,102.59119,48.543457,1.2955055,-43.415894,-12.49707
117,71.66821,-89.49487,134.38477,-3.1914062,99.3595,49.881348,-23.26043,-54.439056,-28.660889
118,81.838135,-77.05664,139.10156,-4.163086,109.42407,48.865234,-7.6101246,-43.157898,-10.594482
119,91.238525,-67.98633,149.36133,4.5458984,115.69702,46.97461,20.73378,-26.80017,6.0356445
120,87.72632,-71.89136,151.51855,18.521484,115.08679,48.330566,21.451805,-29.850037,2.7844238
121,78.27124,-83.08984,138.33301,16.878906,104.57483,54.302246,-13.589136,-52.419037,-26.203857
122,75.43286,-85.15625,134.52148,-3.4326172,102.41748,48.89502,-27.667082,-57.71396,-28.633057
123,66.26172,-88.16577,134.39258,-9.75293,107.267456,40.40576,-1.6399765,-42.32675,-10.056641
124,77.46289,-80.043945,145.35254,4.5947266,114.19104,43.399902,24.129883,-25.881042,11.25708
125,72.934814,-87.906494,138.86914,1.2421875,105.527466,40.33838,4.349972,-38.32837,-7.6745605
126,79.72583,-85.88989,143.5498,1.9169922,112.48413,55.742188,-12.565403,-43.93091,-18.270264
127,92.06641,-67.32544,148.65723,6.879883,118.44177,60.47461,-4.7867184,-33.01715,-5.9052734
128,89.55786,-68.58325,150.53027,10.666992,121.80115,51.315918,23.72076,-21.9859,12.17749
129,79.77954,-80.3667,148.0498,9.895508,120.15967,45.356934,24.669136,-25.564331,7.8864746
130,75.39087,-88.68945,136.8916,5.073242,109.1095,47.695312,-2.024334,-41.99225,-16.456787
131,74.309326,-87.99292,135.05469,1.375,104.86658,47.21826,-24.612564,-52.038147,-27.096191
132,87.69873,-66.8999,146.34277,10.875977,113.76257,46.82666,-2.3758278,-41.74237,-12.267578
133,85.559814,-66.32422,144.58496,21.167969,119.28235,51.581055,26.928318,-19.758026,12.005371
134,82.558105,-77.27783,146.08301,16.919922,115.996826,52.851074,21.38659,-25.337189,4.822754
135,88.14966,-77.20581,141.33105,11.443359,109.64038,52.40088,-9.772812,-38.714233,-14.441406
136,92.68115,-69.532715,144.91113,4.334961,110.70032,45.55371,-15.786606,-43.17929,-21.205322
137,87.72241,-68.79028,145.74316,13.424805,114.61194,45.1709,13.6788025,-32.081238,-2.7995605
138,87.74585,-71.20557,149.99707,25.385742,117.792114,54.12549,25.150589,-25.55072,9.5876465
139,84.66968,-78.41333,146.30664,24.828125,109.4469,58.59326,6.9685783,-29.705627,-1.4785156
140,77.17212,-86.96094,135.09277,4.4941406,101.2157,49.476074,-20.768711,-42.429474,-20.655762
141,82.76099,-74.664795,145.22363,8.59375,112.4978,46.83545,-2.1454086,-31.420776,-6.3117676
142,92.45044,-64.076904,150.44434,24.5,122.83191,53.868164,30.014492,-14.103882,15.127441
143,95.605225,-61.696777,150.7461,29.90625,111.8938,56.25244,20.569557,-20.557251,9.514893
144,91.775635,-71.895996,138.75684,18.106445,95.62976,49.308105,-21.518456,-53.233,-27.578857
145,93.15845,-70.21094,137.54395,8.527344,102.16992,47.54004,-24.18016,-51.78589,-25.791748
146,82.18652,-81.82959,144.75293,-3.243164,112.99243,37.953613,7.0347633,-29.99649,-0.48608398
147,92.33887,-68.322754,154.30762,14.894531,118.65466,40.075195,32.82725,-14.89743,11.86499
148,96.39307,-68.78467,148.83496,19.957031,107.12549,47.79834,2.4632645,-35.316284,-10.354736
149,92.235596,-74.1333,139.45508,12.379883,98.87366,54.566895,-31.696875,-55.64624,-28.118164
150,93.88013,-64.06494,148.90625,10.657227,115.549805,57.77246,-6.5733395,-35.882965,-4.80249
151,89.52344,-65.52197,157.79883,15.345703,127.45178,53.52832,36.96181,-9.096985,17.885742
152,86.08472,-75.35425,149.95508,15.959961,121.16101,47.936035,29.613995,-15.392029,10.2229
153,88.07007,-76.063965,140.16309,13.219727,105.73157,46.80127,-17.021227,-48.121277,-21.19458
154,85.84546,-78.82837,137.77441,2.2998047,102.82605,40.50049,-28.5155,-49.660553,-30.707031
155,94.21387,-61.089844,147.25195,15.503906,121.598755,50.85742,19.851685,-18.143188,8.701172
156,89.497314,-67.602295,149.1416,20.113281,120.349976,49.720215,37.297565,-15.4158325,17.11914
157,89.70044,-73.00342,144.13574,22.882812,105.93628,46.422363,4.23061,-41.586945,-10.366943
