sample,FP1,FP2,T7,T8,P7,P8,O1,Oz,O2
55,138.87964,-3.9104004,165.89062,-6.1621094,88.29639,66.240234,140.7663,41.962982,84.181885
56,136.9104,-6.9506836,159.24219,-2.4072266,76.93274,61.734863,120.11841,24.41623,62.168457
57,150.3169,4.010498,165.34668,1.1181641,82.27771,71.2417,84.81276,1.8586731,38.32129
58,147.5061,4.9140625,149.17871,-19.367188,63.58081,40.773926,50.352657,-40.47464,-3.244873
59,139.77417,7.484131,163.2832,-10.308594,84.95056,45.926758,99.45206,-4.8441467,33.156982
60,148.21118,11.034912,167.84473,2.2265625,82.765625,53.571777,128.51953,20.200714,58.554443
61,138.26416,-4.0490723,161.21484,2.5546875,71.10205,62.728516,105.005646,11.430115,48.95044
62,139.78638,-1.2058105,167.14844,-4.8535156,82.71777,72.28076,83.17067,0.2157898,30.61621
63,125.62866,-15.419189,158.45898,-26.201172,74.09216,47.878906,74.359085,-15.470642,19.20752
64,125.93091,-17.320312,162.73242,-20.697266,79.84888,36.54492,101.75452,-4.675293,37.80835
65,138.073,-4.999756,167.75195,-7.689453,81.81799,37.311523,105.62749,-1.7936096,33.13965
66,144.28394,-2.2141113,165.11719,-1.6074219,80.65442,60.34619,84.86188,-5.432953,25.61914
67,141.90576,-6.037842,165.0664,-10.045898,81.66785,65.5249,85.189896,-0.78186035,32.281982
68,139.31665,-14.319092,162.47363,-23.957031,76.5564,50.745117,98.0361,2.071289,40.49878
69,127.4292,-21.090332,164.34277,-16.070312,84.061035,49.149414,112.86267,9.91095,51.50659
70,128.80493,-29.482422,155.0791,-22.024414,72.53772,37.927734,80.34622,-19.430756,20.96167
71,150.61694,-7.7094727,167.92383,-6.801758,78.22412,47.18164,67.76283,-23.20575,5.949707
72,133.59521,-22.812256,161.39844,-23.11621,72.482666,35.393066,74.54498,-17.154114,11.357422
73,134.9375,-14.263428,168.99121,-10.421875,84.27161,58.470703,117.19499,17.843323,50.877197
74,128.13965,-28.655273,168.28223,-3.0634766,87.992676,67.44043,122.89574,19.48819,59.801758
75,123.354004,-40.489746,155.81934,-22.578125,71.797485,46.45996,70.51854,-24.19513,12.851074
76,116.10474,-47.51709,152.14062,-39.9541,72.65552,37.35547,58.257183,-28.023865,2.956543
77,128.56494,-32.05249,163.04688,-32.001953,84.32471,32.689453,86.43164,-10.83197,17.104736
